state,district,url,2016_republican_candidate,2016_republican_pct,2016_republican_votes,2014_republican_candidate,2014_republican_pct,2014_republican_votes,2014_democratic_candidate,2014_democratic_pct,2014_democratic_votes,2012_republican_candidate,2012_republican_pct,2012_republican_votes,2024_republican_candidate,2024_republican_pct,2024_republican_votes,2024_democratic_candidate,2024_democratic_pct,2024_democratic_votes,2022_republican_candidate,2022_republican_pct,2022_republican_votes,2022_libertarian_candidate,2022_libertarian_pct,2022_libertarian_votes,2020_republican_candidate,2020_republican_pct,2020_republican_votes,2020_democratic_candidate,2020_democratic_pct,2020_democratic_votes,2018_republican_candidate,2018_republican_pct,2018_republican_votes,2018_democratic_candidate,2018_democratic_pct,2018_democratic_votes,2016_democratic_candidate,2016_democratic_pct,2016_democratic_votes,2012_democratic_candidate,2012_democratic_pct,2012_democratic_votes,2022_democratic_candidate,2022_democratic_pct,2022_democratic_votes,2020_libertarian_candidate,2020_libertarian_pct,2020_libertarian_votes,2022_independent_candidate,2022_independent_pct,2022_independent_votes,2014_independent_candidate,2014_independent_pct,2014_independent_votes,2020_independent_candidate,2020_independent_pct,2020_independent_votes,2016_libertarian_candidate,2016_libertarian_pct,2016_libertarian_votes,2016_independent_candidate,2016_independent_pct,2016_independent_votes,2014_libertarian_candidate,2014_libertarian_pct,2014_libertarian_votes,2012_libertarian_candidate,2012_libertarian_pct,2012_libertarian_votes,2016_green_candidate,2016_green_pct,2016_green_votes,2024_independent_candidate,2024_independent_pct,2024_independent_votes,2024_green_candidate,2024_green_pct,2024_green_votes,2012_independent_candidate,2012_independent_pct,2012_independent_votes,2018_green_candidate,2018_green_pct,2018_green_votes,2012_green_candidate,2012_green_pct,2012_green_votes,2024_libertarian_candidate,2024_libertarian_pct,2024_libertarian_votes,2018_libertarian_candidate,2018_libertarian_pct,2018_libertarian_votes,2022_green_candidate,2022_green_pct,2022_green_votes,2018_independent_candidate,2018_independent_pct,2018_independent_votes,2014_green_candidate,2014_green_pct,2014_green_votes,2020_green_candidate,2020_green_pct,2020_green_votes,2012_conservative_candidate,2012_conservative_pct,2012_conservative_votes,2021_democratic_candidate,2021_democratic_pct,2021_democratic_votes,2024_conservative_candidate,2024_conservative_pct,2024_conservative_votes,2016_conservative_candidate,2016_conservative_pct,2016_conservative_votes,2021_republican_candidate,2021_republican_pct,2021_republican_votes,2021_independent_candidate,2021_independent_pct,2021_independent_votes,2021_libertarian_candidate,2021_libertarian_pct,2021_libertarian_votes,2014_conservative_candidate,2014_conservative_pct,2014_conservative_votes,2020_conservative_candidate,2020_conservative_pct,2020_conservative_votes,2022_conservative_candidate,2022_conservative_pct,2022_conservative_votes,2018_conservative_candidate,2018_conservative_pct,2018_conservative_votes,2019_republican_candidate,2019_republican_pct,2019_republican_votes,2019_democratic_candidate,2019_democratic_pct,2019_democratic_votes,2019_libertarian_candidate,2019_libertarian_pct,2019_libertarian_votes,2019_green_candidate,2019_green_pct,2019_green_votes,2023_democratic_candidate,2023_democratic_pct,2023_democratic_votes,2023_republican_candidate,2023_republican_pct,2023_republican_votes,2023_libertarian_candidate,2023_libertarian_pct,2023_libertarian_votes,2023_independent_candidate,2023_independent_pct,2023_independent_votes
Arizona,3,https://ballotpedia.org/Arizona's_3rd_Congressional_District,,,,Gabriela Saucedo Mercer,44.2%,"46,185",Raul GrijalvaIncumbent,55.7%,"58,192",Gabriela Saucedo Mercer,37.1%,"62,663",Jeffrey Zink(R),26.6,"53,705",Yassamin Ansari(D),70.9,"143,336",Jeffrey Zink(R),23.0,"32,475",,,,Daniel Wood(R),35.4,"95,594",Raúl Grijalva(D),64.6,"174,243",Nicolas Pierson(R),36.1,"64,868",Raúl Grijalva(D),63.9,"114,650",Raul GrijalvaIncumbent,98.6%,"148,973",Raul GrijalvaIncumbent,58.4%,"98,468",Ruben Gallego(D),77.0,"108,599",,,,,,,,,,,,,,,,,,,,,,Blanca Guerra,4.5%,"7,567",,,,,,,Candace Cunningham(G) (Write-in),0.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,4,https://ballotpedia.org/Arizona's_4th_Congressional_District,Paul GosarIncumbent,71.5%,"203,487",Paul GosarIncumbent,70%,"122,560",Mikel Weisser,25.8%,"45,179",Paul GosarIncumbent,66.8%,"162,907",Kelly Cooper(R),45.5,"152,052",Greg Stanton(D),52.7,"176,428",Kelly Cooper(R),43.9,"116,521",,,,Don Overholser(R) (Write-in),0.0,5,Miko Jones(D) (Write-in),0.0,19,Paul Gosar(R),68.2,"188,842",David Brill(D),30.5,"84,521",Mikel Weisser,28.5%,"81,296",Johnnie Robinson,28.4%,"69,154",Greg Stanton(D),56.1,"148,941",Brett Brennan(L) (Write-in),0.0,67,Stephan Jones(Independent) (Write-in),0.0,36,,,,Emily Robinson(Independent) (Write-in),0.0,7,,,,,,,Chris Rike,4.2%,"7,440",Joe Pamelia,3.8%,"9,306",,,,,,,Vincent Beck-Jones(G),1.8,"6,065",Richard Grayson,1%,"2,393",Haryaksha Gregor Knauer(G),1.3,"3,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,5,https://ballotpedia.org/Arizona's_5th_Congressional_District,Andy Biggs,64.1%,"205,184",Matt SalmonIncumbent,69.6%,"124,867",James Woods,30.4%,"54,596",Matt Salmon,67.2%,"183,470",Andy Biggs(R),60.4,"255,628",Katrina Schaffner(D),39.6,"167,680",Andy Biggs(R),56.7,"182,464",,,,Karen Stephens(R) (Write-in),0.0,72,Joan Greene(D),41.1,"183,171",Andy Biggs(R),59.4,"186,037",Joan Greene(D),40.6,"127,027",Talia Fuentes,35.9%,"114,940",Spencer Morgan,32.8%,"89,589",Debra Jo Borden(D) (Write-in),0.0,32,,,,Clint Smith(Independent),5.9,"18,851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,6,https://ballotpedia.org/Arizona's_6th_Congressional_District,David SchweikertIncumbent,62.1%,"201,578",David SchweikertIncumbent,64.9%,"129,578",John Williamson,35.1%,"70,198",David SchweikertIncumbent,61.3%,"179,706",Juan Ciscomani(R),50.0,"215,596",Kirsten Engel(D),47.5,"204,774",Juan Ciscomani(R),50.7,"177,201",,,,David Schweikert(R),52.2,"217,783",Hiral Tipirneni(D),47.8,"199,644",David Schweikert(R),55.2,"173,140",Anita Malik(D),44.8,"140,559",John Williamson,37.9%,"122,866",Matt Jette,33.3%,"97,666",Avery Thornton(D) (Write-in),0.0,71,,,,Frank Bertone(Independent) (Write-in),0.0,42,,,,,,,,,,,,,,,,Jack Anderson,3.5%,"10,167",,,,Luis  Pozzolo(Independent) (Write-in),0.0,91,Athena Eastwood(G),2.5,"10,759",,,,,,,Mark Salazar,1.9%,"5,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,7,https://ballotpedia.org/Arizona's_7th_Congressional_District,Eve Nunez,24.7%,"39,286",,,,Ruben Gallego,74.9%,"54,235",,,,Daniel Butierez(R),36.6,"99,057",Raúl Grijalva(D),63.4,"171,954",Luis  Pozzolo(R),35.5,"69,444",,,,J.Travis Kirkham(R) (Write-in),0.0,3,Ruben Gallego(D),76.7,"165,452",,,,Ruben Gallego(D),85.6,"113,044",Ruben GallegoIncumbent,75.2%,"119,465",Ed PastorIncumbent,81.7%,"104,489",Raúl Grijalva(D),64.5,"126,418",Roxanne Rodriguez(L) (Write-in),0.0,51,,,,Jose Penalosa,4.8%,"3,496",,,,,,,,,,Joe Cobb,14.8%,"10,715",Joe Cobb,18.3%,"23,338",,,,,,,,,,,,,Gary Swing(G),14.2,"18,706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,8,https://ballotpedia.org/Arizona's_8th_Congressional_District,Trent FranksIncumbent,68.5%,"204,942",Trent FranksIncumbent,75.8%,"128,710",,,,Trent FranksIncumbent,63.3%,"172,809",Abraham Hamadeh(R),56.5,"208,269",Gregory Whitten(D),43.5,"160,344",Debbie Lesko(R),96.5,"197,555",,,,Debbie Lesko(R),59.6,"251,633",Michael Muscato(D),40.4,"170,816",Debbie Lesko(R),55.5,"168,835",Hiral Tipirneni(D),44.5,"135,569",,,,Gene Scharer,35.1%,"95,635",Alixandria Guzman(D) (Write-in),1.0,"2,013",,,,,,,,,,Taliban Hendrix(Independent) (Write-in),0.0,18,,,,,,,,,,,,,Mark Salazar,31.4%,"93,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,9,https://ballotpedia.org/Arizona's_9th_Congressional_District,Dave Giles,39%,"108,350",Wendy Rogers,41.9%,"67,841",Kyrsten SinemaIncumbent,54.7%,"88,609",Vernon B. Parker,44.6%,"111,630",Paul Gosar(R),65.3,"249,583",Quacy Smith(D),34.7,"132,640",Paul Gosar(R),97.8,"192,796",,,,Dave Giles(R),38.4,"135,180",Greg Stanton(D),61.6,"217,094",Steve Ferrara(R),38.9,"101,662",Greg Stanton(D),61.1,"159,583",Kyrsten SinemaIncumbent,60.9%,"169,055",Kyrsten Sinema,48.7%,"121,881",Thomas Tzitzura(D) (Write-in),0.4,858,,,,,,,,,,,,,,,,,,,Powell Gammill,3.5%,"5,612",Powell Gammill,6.6%,"16,630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,1,https://ballotpedia.org/Arkansas'_1st_Congressional_District,Rick CrawfordIncumbent,76.3%,"183,866",Rick CrawfordIncumbent,63.3%,"124,139",Jackie McPherson,32.4%,"63,555",Rick CrawfordIncumbent,56.2%,"138,800",Rick Crawford(R),72.9,"194,711",Rodney Govens(D),24.0,"64,113",Rick Crawford(R),73.8,"153,774",,,,Rick Crawford(R),100.0,"237,596",,,,Rick Crawford(R),68.9,"138,757",Chintan Desai(D),28.8,"57,907",,,,Scott Ellington,39.1%,"96,601",Monte Hodges(D),26.2,"54,598",,,,,,,,,,,,,Mark West,23.7%,"57,181",,,,Brian Scott Willhite,4.4%,"8,562",Jessica Paxton,2.6%,"6,427",,,,,,,,,,,,,,,,Jacob Holloway,2%,"5,015",Steven Gene Parsons(L),3.1,"8,353",Elvis Presley(L),2.3,"4,581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,2,https://ballotpedia.org/Arkansas'_2nd_Congressional_District,French HillIncumbent,58.3%,"176,472",French Hill,51.9%,"123,073",Patrick Hays,43.6%,"103,477",Tim GriffinIncumbent,55.2%,"158,175",French Hill(R),58.9,"180,509",Marcus Jones(D),41.1,"125,777",French Hill(R),60.0,"147,975",Michael White(L),4.7,"11,584",French Hill(R),55.4,"184,093",Joyce Elliott(D),44.6,"148,410",French Hill(R),52.1,"132,125",Clarke Tucker(D),45.8,"116,135",Dianne Curry,36.8%,"111,347",Herb Rule,39.5%,"113,156",Quintessa Hathaway(D),35.3,"86,887",,,,,,,,,,,,,Chris Hayes,4.7%,"14,342",,,,Debbie Standiford,4.5%,"10,590",Chris Hayes,2.3%,"6,701",,,,,,,,,,,,,,,,Barbara Ward,3%,"8,566",,,,Joe Swafford(L),2.0,"5,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,3,https://ballotpedia.org/Arkansas'_3rd_Congressional_District,Steve WomackIncumbent,77.3%,"217,192",Steve WomackIncumbent,79.4%,"151,630",,,,Steve WomackIncumbent,75.9%,"186,467",Steve Womack(R),63.8,"192,101",Caitlin Draper Mattelin(D),31.8,"95,652",Steve Womack(R),63.7,"142,401",Michael Kalagias(L),3.4,"7,646",Steve Womack(R),64.3,"214,960",Celeste Williams(D),31.8,"106,325",Steve Womack(R),64.7,"148,717",Joshua Mahony(D),32.6,"74,952",,,,,,,Lauren Mallett-Hays(D),32.9,"73,541",Michael Kalagias(L),3.9,"12,977",,,,,,,,,,Steve Isaacson,22.7%,"63,715",,,,Grant Brand,20.6%,"39,305",David Pangrac,8.1%,"19,875",,,,,,,,,,,,,,,,Rebekah Kennedy,16%,"39,318",Bobby Wilson(L),4.4,"13,331",Michael Kalagias(L),2.6,"5,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,4,https://ballotpedia.org/Arkansas'_4th_Congressional_District,Bruce WestermanIncumbent,74.9%,"182,885",Bruce Westerman,53.7%,"110,789",James Lee Witt,42.6%,"87,742",Tom Cotton,59.5%,"154,149",Bruce Westerman(R),72.9,"197,046",Risie Howard(D),27.1,"73,207",Bruce Westerman(R),71.0,"153,850",Gregory Maxwell(L),2.8,"6,101",Bruce Westerman(R),69.7,"191,617",William Hanson(D),27.5,"75,750",Bruce Westerman(R),66.7,"136,740",Hayden Shamel(D),31.2,"63,984",,,,Gene Jeffress,36.7%,"95,013",John White(D),26.2,"56,745",Frank Gilbert(L),2.8,"7,668",,,,,,,,,,Kerry Hicks,25.1%,"61,274",,,,Ken Hamilton,3.7%,"7,598",Bobby Tullis,1.9%,"4,984",,,,,,,,,,,,,,,,Joshua Drake,1.9%,"4,807",,,,Tom Canada(L),1.9,"3,952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1,https://ballotpedia.org/California's_1st_Congressional_District,Doug LaMalfaIncumbent,59.1%,"185,448",Doug La MalfaIncumbent,61%,"132,052",Heidi Hall,39%,"84,320",Doug La Malfa,57.4%,"168,827",Doug LaMalfa(R),65.3,"208,592",Rose Penelope Yee(D),34.7,"110,636",Doug LaMalfa(R),62.1,"152,839",,,,Doug LaMalfa(R),57.0,"204,190",Audrey Denney(D),43.0,"154,073",Doug LaMalfa(R),54.9,"160,046",Audrey Denney(D),45.1,"131,548",Jim Reed,40.9%,"128,588",Jim Reed,42.6%,"125,386",Max Steiner(D),37.9,"93,386",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,10,https://ballotpedia.org/California's_10th_Congressional_District,Jeff DenhamIncumbent,51.7%,"124,671",Jeff DenhamIncumbent,56.1%,"70,582",Michael Eggman,43.9%,"55,123",Jeff DenhamIncumbent,52.7%,"110,265",Katherine Piccinini(R),33.5,"122,219",Mark DeSaulnier(D),66.5,"242,325",,,,,,,Ted Howze(R),44.8,"135,629",Josh Harder(D),55.2,"166,865",Jeff Denham(R),47.7,"105,955",Josh Harder(D),52.3,"115,945",Michael Eggman,48.3%,"116,470",Jose Hernandez,47.3%,"98,934",Mark DeSaulnier(D),78.9,"198,415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael Ernest Kerr(G),21.1,"52,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
